0,0,0,42,0,0,0,59,29,0,0,25,0,0,0
0,0,0,8,21,0,0,0,0,0,25,0,0,0,25
0,0,0,0,0,0,31,62,0,11,0,0,40,0,0
42,8,0,0,28,0,0,0,42,0,29,40,0,0,0
0,21,0,28,0,0,0,0,0,0,0,62,65,0,26
0,0,0,0,0,0,25,10,28,0,0,0,0,0,0
0,0,31,0,0,25,0,32,41,0,50,0,54,0,0
59,0,62,0,0,10,32,0,35,73,0,0,0,0,0
29,0,0,42,0,28,41,35,0,0,46,0,0,0,0
0,0,11,0,0,0,0,73,0,0,0,0,40,0,0
0,25,0,29,0,0,50,0,46,0,0,0,40,9,13
25,0,0,40,62,0,0,0,0,0,0,0,0,0,0
0,0,40,0,65,0,54,0,0,40,40,0,0,33,40
0,0,0,0,0,0,0,0,0,0,9,0,33,0,9
0,25,0,0,26,0,0,0,0,0,13,0,40,9,0
